,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,GREATEST_75_FLAG,Quartile,FIRST_2,NEXT_2,Improved
92,Keldon Johnson,SF,20.5,SAS,43.0,1134.5,16.450000000000003,0.634,0.252,0.386,4.25,17.200000000000003,10.649999999999999,8.05,1.6,0.8,9.85,18.299999999999997,1.2000000000000002,0.95,2.2,0.1265,0.3,-0.35,-0.050000000000000044,0.25,2020,1629640.0,Keldon,Johnson,Keldon Johnson,"Johnson, Keldon",K. Johnson,keldon-johnson,1999-10-11T00:00:00,Kentucky,USA,Kentucky/USA,77.0,220.0,4.0,Forward-Guard,Active,Y,1610612759.0,keldon_johnson,2019.0,2023.0,Y,Y,Y,2019,N,3,3,1,No
93,Kelly Oubre Jr.,SF,20.5,WAS,71.0,1138.0,8.649999999999999,0.5115000000000001,0.39949999999999997,0.228,4.199999999999999,16.2,10.149999999999999,3.4,1.7000000000000002,0.8500000000000001,11.05,16.0,0.15,1.1,1.2,0.046,-3.9,-0.25,-4.15,-0.5,2016,1626162.0,Kelly,Oubre Jr.,Kelly Oubre Jr.,"Oubre Jr., Kelly",K. Oubre Jr.,kelly-oubre-jr,1995-12-09T00:00:00,Kansas,USA,Kansas/USA,79.0,203.0,8.0,Forward-Guard,Active,Y,1610612755.0,kelly_oubre_jr,2015.0,2023.0,N,Y,Y,2015,N,2,3,3,No
94,Kentavious Caldwell-Pope,SG,20.5,DET,81.0,2085.0,10.3,0.492,0.4295,0.14800000000000002,2.2,8.85,5.4,5.9,2.15,0.55,6.8500000000000005,16.7,1.05,1.3,2.3,0.0535,-2.15,0.04999999999999999,-2.15,0.0,2014,203484.0,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,"Caldwell-Pope, Kentavious",K. Caldwell-Pope,kentavious-caldwell-pope,1993-02-18T00:00:00,Georgia,USA,Georgia/USA,77.0,204.0,10.0,Guard,Active,Y,1610612743.0,kentavious_caldwell-pope,2013.0,2023.0,N,Y,Y,2013,N,3,3,4,Yes
95,Kevin Huerter,SG,20.5,ATL,65.5,1904.0,10.8,0.5345,0.5425,0.095,2.55,10.85,6.65,16.0,1.45,1.2000000000000002,12.9,16.4,0.85,0.6499999999999999,1.55,0.0385,-1.15,-0.8500000000000001,-2.0,0.0,2019,1628989.0,Kevin,Huerter,Kevin Huerter,"Huerter, Kevin",K. Huerter,kevin-huerter,1998-08-27T00:00:00,Maryland,USA,Maryland/USA,79.0,198.0,5.0,Guard-Forward,Active,Y,1610612758.0,kevin_huerter,2018.0,2023.0,N,Y,Y,2018,N,2,2,3,Yes
96,Kevin Porter Jr.,SF,19.5,CLE,38.0,998.5,11.65,0.5315000000000001,0.40700000000000003,0.248,2.25,12.0,7.0,22.55,1.5,0.95,17.45,22.95,-0.3,0.44999999999999996,0.15,0.006,-2.1500000000000004,-1.5,-3.65,-0.4,2020,1629645.0,Kevin,Porter Jr.,Kevin Porter Jr.,"Porter Jr., Kevin",K. Porter Jr.,kevin-porter-jr,2000-05-04T00:00:00,USC,USA,Southern California/USA,76.0,203.0,5.0,Guard-Forward,Inactive,N,1610612745.0,kevin_porter_jr,2019.0,2022.0,Y,Y,Y,2019,N,2,2,2,No
97,Kevon Looney,PF,19.5,GSW,29.0,234.0,16.1,0.5980000000000001,0.185,0.159,16.65,23.8,20.4,4.25,0.8,1.5,12.35,14.95,0.39999999999999997,0.4,0.75,0.1735,-0.3999999999999999,-1.6999999999999997,-2.1,0.0,2016,1626172.0,Kevon,Looney,Kevon Looney,"Looney, Kevon",K. Looney,kevon-looney,1996-02-06T00:00:00,UCLA,USA,UCLA/USA,81.0,222.0,8.0,Forward,Active,Y,1610612744.0,kevon_looney,2015.0,2023.0,Y,Y,Y,2015,N,1,3,4,Yes
98,Kyle Kuzma,PF,22.5,LAL,73.5,2357.5,14.1,0.5475000000000001,0.403,0.21500000000000002,3.3,15.75,9.6,10.3,0.9,1.0,10.5,23.15,1.35,2.0999999999999996,3.45,0.07100000000000001,0.04999999999999999,-1.1,-1.0499999999999998,0.6000000000000001,2018,1628398.0,Kyle,Kuzma,Kyle Kuzma,"Kuzma, Kyle",K. Kuzma,kyle-kuzma,1995-07-24T00:00:00,Utah,USA,Utah/USA,81.0,221.0,6.0,Forward,Active,Y,1610612764.0,kyle_kuzma,2017.0,2023.0,N,Y,Y,2017,N,1,1,2,Yes
99,Landry Shamet,SG,21.5,TOT,66.0,1627.0,9.75,0.592,0.734,0.1805,0.8500000000000001,6.5,3.75,9.05,0.85,0.5,8.0,14.2,2.1,1.0,3.1,0.0905,-1.05,-0.8,-1.85,0.1,2019,1629013.0,Landry,Shamet,Landry Shamet,"Shamet, Landry",L. Shamet,landry-shamet,1997-03-13T00:00:00,Wichita State,USA,Wichita State/USA,76.0,190.0,5.0,Guard,Active,Y,1610612764.0,landry_shamet,2018.0,2023.0,N,Y,Y,2018,N,1,2,2,No
100,Lauri Markkanen,PF,20.5,CHI,60.0,1851.0,16.35,0.5525,0.4415,0.219,4.35,24.799999999999997,14.35,6.800000000000001,1.0,1.75,8.5,23.5,1.5,1.55,3.0,0.0785,1.2,-1.35,-0.2,0.8,2018,1628374.0,Lauri,Markkanen,Lauri Markkanen,"Markkanen, Lauri",L. Markkanen,lauri-markkanen,1997-05-22T00:00:00,Arizona,Finland,Arizona/Finland,84.0,240.0,6.0,Forward-Center,Active,Y,1610612762.0,lauri_markkanen,2017.0,2023.0,N,Y,Y,2017,N,1,1,2,Yes
101,Lorenzo Brown,PG,23.5,PHI,27.5,386.5,9.6,0.4085,0.2895,0.1535,3.25,11.0,7.05,26.2,2.7,1.0,16.8,16.65,-0.2,0.2,0.0,-0.021500000000000002,-3.65,-0.19999999999999998,-3.85,-0.15000000000000002,2014,203485.0,Lorenzo,Brown,Lorenzo Brown,"Brown, Lorenzo",L. Brown,lorenzo-brown,1990-08-26T00:00:00,North Carolina State,USA,North Carolina State/USA,77.0,189.0,5.0,Guard,Inactive,N,0.0,lorenzo_brown,2013.0,2018.0,Y,Y,Y,2013,N,2,3,4,Yes
102,Luke Kennard,SG,21.5,DET,68.0,1450.0,12.0,0.56,0.46799999999999997,0.14,1.25,12.7,6.8,12.5,1.2,0.7,10.8,17.65,1.2000000000000002,1.35,2.55,0.085,-0.65,-0.25,-0.9500000000000001,0.4,2018,1628379.0,Luke,Kennard,Luke Kennard,"Kennard, Luke",L. Kennard,luke-kennard,1996-06-24T00:00:00,Duke,USA,Duke/USA,77.0,206.0,6.0,Guard,Active,Y,1610612763.0,luke_kennard,2017.0,2023.0,Y,Y,Y,2017,N,3,3,2,No
103,Malcolm Brogdon,SG,24.5,MIL,61.5,1709.0,14.600000000000001,0.5665,0.312,0.1835,2.3499999999999996,10.2,6.35,20.3,1.8,0.65,12.5,18.8,2.3,1.1,3.4,0.0955,-0.05,-0.7,-0.8,0.55,2017,1627763.0,Malcolm,Brogdon,Malcolm Brogdon,"Brogdon, Malcolm",M. Brogdon,malcolm-brogdon,1992-12-11T00:00:00,Virginia,USA,Virginia/USA,76.0,229.0,7.0,Guard,Active,Y,1610612757.0,malcolm_brogdon,2016.0,2023.0,N,Y,Y,2016,N,2,2,3,Yes
104,Malik Beasley,SG,20.5,DEN,42.0,374.0,11.35,0.5225,0.4225,0.161,3.05,9.5,6.300000000000001,8.8,1.7000000000000002,0.5,10.25,19.1,0.1,0.2,0.25,0.0425,-1.4,-0.7999999999999999,-2.1999999999999997,-0.09999999999999999,2017,1627736.0,Malik,Beasley,Malik Beasley,"Beasley, Malik",M. Beasley,malik-beasley,1996-11-26T00:00:00,Florida State,USA,Florida State/USA,76.0,187.0,7.0,Guard,Active,Y,1610612749.0,malik_beasley,2016.0,2023.0,Y,Y,Y,2016,N,2,2,2,No
105,Malik Monk,SG,19.5,CHO,68.0,1056.0,11.0,0.4975,0.5674999999999999,0.1315,1.15,9.05,5.050000000000001,15.6,1.25,1.1,11.0,24.75,-0.45,0.6,0.15,0.006,-1.3,-1.85,-3.2,-0.3,2018,1628370.0,Malik,Monk,Malik Monk,"Monk, Malik",M. Monk,malik-monk,1998-02-04T00:00:00,Kentucky,USA,Kentucky/USA,75.0,200.0,6.0,Guard,Active,Y,1610612758.0,malik_monk,2017.0,2023.0,Y,Y,Y,2017,N,1,1,1,No
106,Mario Hezonja,SF,20.5,ORL,72.0,1186.5,8.3,0.49550000000000005,0.4475,0.1405,2.2,13.25,7.6000000000000005,10.399999999999999,1.45,1.15,16.05,17.85,-0.75,0.9,0.10000000000000003,-0.002,-3.25,-0.8,-4.05,-0.55,2016,1626209.0,Mario,Hezonja,Mario Hezonja,"Hezonja, Mario",M. Hezonja,mario-hezonja,1995-02-25T00:00:00,FC Barcelona,Croatia,FC Barcelona/Croatia,80.0,220.0,6.0,Forward-Guard,Inactive,N,1610612753.0,mario_hezonja,2015.0,2019.0,N,Y,Y,2015,N,2,2,3,Yes
107,Markelle Fultz,SG,19.5,PHI,16.5,340.0,11.45,0.434,0.049499999999999995,0.214,5.75,11.85,8.95,25.4,2.0999999999999996,1.1,12.55,21.200000000000003,-0.15000000000000002,0.4,0.25,0.039,-3.3,0.44999999999999996,-2.85,-0.05,2018,1628365.0,Markelle,Fultz,Markelle Fultz,"Fultz, Markelle",M. Fultz,markelle-fultz,1998-05-29T00:00:00,Washington,USA,Washington/USA,76.0,209.0,6.0,Guard,Active,Y,1610612753.0,markelle_fultz,2017.0,2023.0,N,Y,Y,2017,N,3,3,3,No
108,Marquese Chriss,PF,19.5,PHO,77.0,1635.0,11.7,0.519,0.376,0.3085,5.5,19.4,12.3,6.65,1.7000000000000002,3.45,14.799999999999999,18.9,-0.25,1.5,1.25,0.036500000000000005,-2.7,0.15000000000000002,-2.5,-0.2,2017,1627737.0,Marquese,Chriss,Marquese Chriss,"Chriss, Marquese",M. Chriss,marquese-chriss,1997-07-02T00:00:00,Washington,USA,Washington/USA,81.0,240.0,7.0,Forward,Inactive,N,1610612742.0,marquese_chriss,2016.0,2021.0,N,Y,Y,2016,N,2,3,3,No
109,Marvin Bagley III,PF,19.5,SAC,37.5,950.5,17.25,0.537,0.134,0.27849999999999997,9.95,22.15,15.9,5.4,0.95,3.3,9.899999999999999,25.0,1.0,0.9500000000000001,2.0,0.0805,-0.8500000000000001,-1.45,-2.25,0.15000000000000002,2019,1628963.0,Marvin,Bagley III,Marvin Bagley III,"Bagley III, Marvin",M. Bagley III,marvin-bagley-iii,1999-03-14T00:00:00,Duke,USA,Duke/USA,82.0,235.0,5.0,Forward,Active,Y,1610612764.0,marvin_bagley_iii,2018.0,2023.0,N,Y,Y,2018,N,1,1,1,No
110,Michael Carter-Williams,PG,22.5,PHI,68.0,2281.5,14.8,0.47050000000000003,0.1815,0.3325,3.75,15.45,9.4,33.75,2.6,1.25,18.2,26.2,-1.4500000000000002,2.5,1.05,0.0215,-0.75,0.04999999999999999,-0.8,0.7,2014,203487.0,Michael,Carter-Williams,Michael Carter-Williams,"Carter-Williams, Michael",M. Carter-Williams,michael-carter-williams,1991-10-10T00:00:00,Syracuse,USA,Syracuse/USA,77.0,190.0,10.0,Guard,Inactive,N,1610612753.0,michael_carter-williams,2013.0,2022.0,Y,Y,Y,2013,N,2,3,4,Yes
111,Michael Porter Jr.,SF,21.5,DEN,58.0,1407.5,20.200000000000003,0.64,0.42600000000000005,0.176,6.8,22.4,14.65,6.75,1.25,2.7,9.35,22.0,3.3,1.6,4.9,0.16349999999999998,3.2,-0.8500000000000001,2.3,1.65,2020,1629008.0,Michael,Porter Jr.,Michael Porter Jr.,"Porter Jr., Michael",M. Porter Jr.,michael-porter-jr,1998-06-29T00:00:00,Missouri,USA,Missouri/USA,82.0,218.0,4.0,Forward,Active,Y,1610612743.0,michael_porter_jr,2018.0,2023.0,N,Y,Y,2018,N,2,2,3,Yes
112,Mike Muscala,PF,22.5,ATL,30.0,358.5,14.4,0.544,0.0935,0.179,10.7,16.75,13.75,6.6,1.15,3.45,12.35,18.0,0.5499999999999999,0.44999999999999996,1.05,0.1095,-2.1,-0.6,-2.7,0.04999999999999999,2014,203488.0,Mike,Muscala,Mike Muscala,"Muscala, Mike",M. Muscala,mike-muscala,1991-07-01T00:00:00,Bucknell,USA,Bucknell/USA,82.0,240.0,10.0,Forward-Center,Active,Y,1610612765.0,mike_muscala,2013.0,2023.0,Y,Y,Y,2013,N,1,2,4,Yes
113,Miles Bridges,SF,20.5,CHO,72.5,1845.5,12.6,0.534,0.3945,0.16249999999999998,4.4,16.1,10.100000000000001,8.75,1.3,2.35,9.45,17.55,0.85,1.4,2.25,0.061,-1.2,-0.45,-1.65,0.1,2019,1628970.0,Miles,Bridges,Miles Bridges,"Bridges, Miles",M. Bridges,miles-bridges,1998-03-21T00:00:00,Michigan State,USA,Michigan State/USA,79.0,225.0,4.0,Forward,Active,Y,1610612766.0,miles_bridges,2018.0,2023.0,N,Y,Y,2018,N,3,3,3,No
114,Montrezl Harrell,PF,22.5,HOU,48.5,721.5,16.9,0.6485000000000001,0.0155,0.431,7.75,12.95,10.35,8.4,1.15,2.8,11.65,16.05,1.9,0.6,2.5,0.1505,0.2,0.0,0.2,0.45,2016,1626149.0,Montrezl,Harrell,Montrezl Harrell,"Harrell, Montrezl",M. Harrell,montrezl-harrell,1994-01-26T00:00:00,Louisville,USA,Louisville/USA,79.0,240.0,9.0,Forward-Center,Inactive,N,1610612755.0,montrezl_harrell,2015.0,2022.0,Y,Y,Y,2015,N,2,3,3,No
115,Moritz Wagner,C,21.5,LAL,44.0,640.5,12.6,0.5855,0.3755,0.3335,5.5,18.8,12.05,8.600000000000001,1.35,2.2,17.2,20.15,0.4,0.55,0.95,0.059500000000000004,-2.95,-0.35,-3.3,-0.2,2019,1629021.0,Moritz,Wagner,Moritz Wagner,"Wagner, Moritz",M. Wagner,moritz-wagner,1997-04-26T00:00:00,Michigan,Germany,Michigan/Germany,83.0,245.0,5.0,Forward-Center,Active,Y,1610612753.0,moritz_wagner,2018.0,2023.0,Y,Y,Y,2018,N,2,2,3,Yes
116,Nassir Little,PF,19.5,POR,48.0,606.5,10.6,0.5469999999999999,0.435,0.28,5.45,15.2,10.3,4.95,0.75,1.9500000000000002,8.45,13.75,0.6,0.25,0.8500000000000001,0.0645,-2.0,-1.1,-3.1,-0.15000000000000002,2020,1629642.0,Nassir,Little,Nassir Little,"Little, Nassir",N. Little,nassir-little,2000-02-11T00:00:00,North Carolina,USA,North Carolina/USA,78.0,220.0,4.0,Forward-Guard,Active,Y,1610612756.0,nassir_little,2019.0,2023.0,N,Y,Y,2019,N,2,2,2,No
117,Nickeil Alexander-Walker,SG,21.5,NOP,46.5,799.0,10.7,0.4975,0.489,0.14150000000000001,1.5,13.8,7.65,17.9,1.75,1.6,14.25,23.25,-0.5,0.7,0.24999999999999997,0.0075000000000000015,-2.3,-0.6499999999999999,-2.9499999999999997,-0.1,2020,1629638.0,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,1998-09-02T00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,77.0,205.0,4.0,Guard,Active,Y,1610612750.0,nickeil_alexander-walker,2019.0,2023.0,Y,Y,Y,2019,N,1,3,3,No
118,Nik Stauskas,SG,21.5,SAC,73.0,1468.0,8.35,0.5045,0.5495,0.2165,1.2000000000000002,8.75,4.95,10.5,1.05,1.0,12.3,15.45,0.15,0.35,0.5,0.0165,-2.3499999999999996,-1.25,-3.55,-0.6000000000000001,2015,203917.0,Nik,Stauskas,Nik Stauskas,"Stauskas, Nik",N. Stauskas,nik-stauskas,1993-10-07T00:00:00,Michigan,Canada,Michigan/Canada,78.0,207.0,7.0,Guard,Inactive,N,1610612738.0,nik_stauskas,2014.0,2021.0,Y,Y,Y,2014,N,1,1,2,Yes
119,Noah Vonleh,PF,19.5,CHO,51.5,716.5,10.899999999999999,0.473,0.168,0.2625,10.0,22.55,16.2,3.1,1.0,2.2,12.75,15.15,0.05,0.75,0.85,0.066,-3.0,-0.6,-3.6500000000000004,-0.35,2015,203943.0,Noah,Vonleh,Noah Vonleh,"Vonleh, Noah",N. Vonleh,noah-vonleh,1995-08-24T00:00:00,Indiana,USA,Indiana/USA,82.0,257.0,8.0,Forward,Inactive,N,0.0,noah_vonleh,2014.0,2022.0,Y,Y,Y,2014,N,1,2,2,No
120,Norman Powell,SG,22.5,TOR,62.5,1046.5,13.65,0.5465,0.36550000000000005,0.2725,2.4000000000000004,13.3,7.9,9.850000000000001,2.0,1.0,11.05,19.450000000000003,1.0499999999999998,1.15,2.2,0.101,-0.55,0.2,-0.4,0.4,2016,1626181.0,Norman,Powell,Norman Powell,"Powell, Norman",N. Powell,norman-powell,1993-05-25T00:00:00,UCLA,USA,UCLA/USA,76.0,215.0,8.0,Guard,Active,Y,1610612746.0,norman_powell,2015.0,2023.0,Y,Y,Y,2015,N,3,3,3,No
121,Otto Porter Jr.,SF,20.5,WAS,55.5,875.5,8.8,0.464,0.2485,0.167,6.55,12.45,9.55,5.699999999999999,1.4500000000000002,1.0,11.8,15.35,0.3,1.05,1.35,0.043,-3.0,-0.35000000000000003,-3.35,0.15,2014,203490.0,Otto,Porter Jr.,Otto Porter Jr.,"Porter Jr., Otto",O. Porter Jr.,otto-porter-jr,1993-06-03T00:00:00,Georgetown,USA,Georgetown/USA,80.0,230.0,10.0,Forward,Active,Y,1610612761.0,otto_porter_jr,2013.0,2023.0,N,Y,Y,2013,N,1,3,4,Yes
122,P.J. Washington,PF,21.5,CHO,61.0,1856.5,12.9,0.548,0.4065,0.221,4.3,17.450000000000003,10.7,11.75,1.6,3.15,13.55,19.0,0.4,1.95,2.35,0.06,-1.6,0.35,-1.25,0.4,2020,1629023.0,P.J.,Washington,P.J. Washington,"Washington, P.J.",P. Washington,pj-washington,1998-08-23T00:00:00,Kentucky,USA,Kentucky/USA,79.0,230.0,4.0,Forward,Active,Y,1610612766.0,pj_washington,2019.0,2023.0,N,Y,Y,2019,N,3,3,3,No
123,Pat Connaughton,SG,23.5,POR,36.5,229.5,8.2,0.4985,0.4435,0.11349999999999999,5.9,15.350000000000001,10.6,11.3,0.8,0.25,17.3,15.85,0.05000000000000002,0.15000000000000002,0.19999999999999998,0.006999999999999999,-2.6,-1.75,-4.35,-0.05,2016,1626192.0,Pat,Connaughton,Pat Connaughton,"Connaughton, Pat",P. Connaughton,pat-connaughton,1993-01-06T00:00:00,Notre Dame,USA,Notre Dame/USA,77.0,209.0,8.0,Guard,Active,Y,1610612749.0,pat_connaughton,2015.0,2023.0,N,Y,Y,2015,N,1,2,4,Yes
124,Patrick McCaw,SG,21.5,GSW,64.0,1017.5,8.0,0.5085,0.429,0.151,2.15,7.4,4.949999999999999,9.8,1.8,0.9500000000000001,13.35,12.350000000000001,0.1,1.0,1.15,0.053,-3.3499999999999996,0.1,-3.25,-0.3,2017,1627775.0,Patrick,McCaw,Patrick McCaw,"McCaw, Patrick",P. McCaw,patrick-mccaw,1995-10-25T00:00:00,UNLV,USA,UNLV/USA,79.0,181.0,6.0,Guard,Inactive,N,0.0,patrick_mccaw,2016.0,2020.0,Y,Y,Y,2016,N,3,3,4,Yes
125,RJ Barrett,SG,19.5,NYK,64.0,2107.5,12.05,0.507,0.2815,0.3045,3.0,14.8,8.8,13.3,1.35,0.8500000000000001,11.7,23.7,-0.35000000000000003,2.1,1.7999999999999998,0.0315,-1.9,-0.9,-2.75,-0.25,2020,1629628.0,RJ,Barrett,RJ Barrett,"Barrett, RJ",R. Barrett,rj-barrett,2000-06-14T00:00:00,Duke,Canada,Duke/Canada,78.0,214.0,4.0,Forward-Guard,Active,Y,1610612761.0,rj_barrett,2019.0,2023.0,N,Y,Y,2019,N,1,2,1,No
126,Richaun Holmes,PF,22.5,PHI,54.0,947.5,17.25,0.5874999999999999,0.1925,0.2915,9.0,15.9,12.45,8.15,1.5,4.0,10.95,18.25,1.6,1.05,2.65,0.127,-0.30000000000000004,0.04999999999999999,-0.25,0.5,2016,1626158.0,Richaun,Holmes,Richaun Holmes,"Holmes, Richaun",R. Holmes,richaun-holmes,1993-10-15T00:00:00,Bowling Green,USA,Bowling Green/USA,81.0,235.0,8.0,Forward,Active,Y,1610612742.0,richaun_holmes,2015.0,2023.0,Y,Y,Y,2015,N,2,3,4,Yes
127,Rodney Hood,SG,22.5,UTA,64.5,1802.5,13.2,0.5355000000000001,0.4585,0.21,1.4,11.1,6.25,13.8,1.5,0.7,10.2,20.55,2.35,1.7,4.1,0.10500000000000001,-0.15000000000000002,0.15,0.0,1.0,2015,203918.0,Rodney,Hood,Rodney Hood,"Hood, Rodney",R. Hood,rodney-hood,1992-10-20T00:00:00,Duke,USA,Duke/USA,80.0,208.0,9.0,Guard-Forward,Inactive,N,1610612746.0,rodney_hood,2014.0,2021.0,N,Y,Y,2014,N,3,3,2,No
128,Romeo Langford,SG,20.5,BOS,25.0,326.5,5.25,0.435,0.3215,0.258,4.550000000000001,8.25,6.4,5.2,1.0,1.85,12.15,11.55,-0.2,0.30000000000000004,0.1,0.014,-4.800000000000001,-0.04999999999999999,-4.75,-0.25,2020,1629641.0,Romeo,Langford,Romeo Langford,"Langford, Romeo",R. Langford,romeo-langford,1999-10-25T00:00:00,Indiana,USA,Indiana/USA,77.0,216.0,5.0,Guard-Forward,Inactive,Y,1610612759.0,romeo_langford,2019.0,2022.0,Y,Y,Y,2019,N,2,3,4,Yes
129,Rui Hachimura,PF,21.5,WAS,52.5,1620.5,12.45,0.542,0.1855,0.2525,4.3,16.25,10.149999999999999,7.550000000000001,1.15,0.4,8.3,18.55,1.0,0.95,1.9500000000000002,0.057999999999999996,-1.7000000000000002,-1.5,-3.1500000000000004,-0.45,2020,1629060.0,Rui,Hachimura,Rui Hachimura,"Hachimura, Rui",R. Hachimura,rui-hachimura,1998-02-08T00:00:00,Gonzaga,Japan,Gonzaga/Japan,80.0,230.0,4.0,Forward,Active,Y,1610612747.0,rui_hachimura,2019.0,2023.0,N,Y,Y,2019,N,1,1,1,No
130,Ryan Kelly,PF,22.5,LAL,55.5,1272.5,10.6,0.5105,0.4085,0.3355,2.25,13.4,7.7,10.8,1.2,2.05,9.65,14.95,0.95,0.5,1.4500000000000002,0.054,-2.2,-0.2,-2.4,-0.1,2014,203527.0,Ryan,Kelly,Ryan Kelly,"Kelly, Ryan",R. Kelly,ryan-kelly,1991-04-09T00:00:00,Duke,USA,Duke/USA,83.0,230.0,5.0,Forward,Inactive,N,1610612747.0,ryan_kelly,2013.0,2016.0,Y,Y,Y,2013,N,3,3,4,Yes
131,Semi Ojeleye,PF,23.5,BOS,64.5,872.0,6.55,0.502,0.614,0.23249999999999998,3.95,11.399999999999999,7.7,3.75,0.8500000000000001,0.44999999999999996,10.3,11.55,0.0,0.9,0.95,0.052500000000000005,-3.6999999999999997,-0.65,-4.35,-0.55,2018,1628400.0,Semi,Ojeleye,Semi Ojeleye,"Ojeleye, Semi",S. Ojeleye,semi-ojeleye,1994-12-05T00:00:00,Southern Methodist,USA,Southern Methodist/USA,78.0,240.0,5.0,Forward,Inactive,N,0.0,semi_ojeleye,2017.0,2021.0,N,Y,Y,2017,N,3,3,3,No
132,Shabazz Muhammad,SG,21.5,MIN,37.5,578.0,16.5,0.5305,0.1085,0.344,8.45,11.8,10.1,6.5,1.25,0.44999999999999996,8.649999999999999,24.200000000000003,1.1,0.05,1.15,0.0815,0.6499999999999999,-2.5,-1.9,0.19999999999999998,2014,203498.0,Shabazz,Muhammad,Shabazz Muhammad,"Muhammad, Shabazz",S. Muhammad,shabazz-muhammad,1992-11-13T00:00:00,UCLA,USA,UCLA/USA,78.0,221.0,6.0,Guard-Forward,Inactive,N,1610612750.0,shabazz_muhammad,2013.0,2017.0,Y,Y,Y,2013,N,1,1,1,No
133,Shabazz Napier,PG,23.5,MIA,53.0,806.0,9.45,0.48850000000000005,0.5175000000000001,0.235,1.85,9.899999999999999,5.9,21.5,2.0,0.2,20.75,17.6,-0.3,0.6000000000000001,0.3,0.014,-2.35,-0.75,-3.1,-0.25,2015,203894.0,Shabazz,Napier,Shabazz Napier,"Napier, Shabazz",S. Napier,shabazz-napier,1991-07-14T00:00:00,Connecticut,USA,Connecticut/USA,72.0,175.0,7.0,Guard,Inactive,N,1610612757.0,shabazz_napier,2014.0,2019.0,Y,Y,Y,2014,N,2,2,4,Yes
134,Shai Gilgeous-Alexander,PG,20.5,LAC,76.0,2301.0,15.55,0.5609999999999999,0.2205,0.312,2.55,12.200000000000001,7.550000000000001,16.5,1.85,1.65,12.65,21.0,2.3,2.45,4.699999999999999,0.0975,0.2,0.4,0.6,1.5,2019,1628983.0,Shai,Gilgeous-Alexander,Shai Gilgeous-Alexander,"Gilgeous-Alexander, Shai",S. Gilgeous-Alexander,shai-gilgeous-alexander,1998-07-12T00:00:00,Kentucky,Canada,Kentucky/Canada,78.0,195.0,5.0,Guard,Active,Y,1610612760.0,shai_gilgeous-alexander,2018.0,2023.0,N,Y,Y,2018,N,3,3,3,No
135,Shake Milton,SG,22.5,PHI,30.0,536.5,11.850000000000001,0.55,0.4965,0.1575,2.9000000000000004,10.0,6.45,14.0,1.2999999999999998,1.5,9.75,16.95,0.75,0.5,1.2,0.0925,-1.3,-0.8,-2.1,0.05,2019,1629003.0,Shake,Milton,Shake Milton,"Milton, Shake",S. Milton,shake-milton,1996-09-26T00:00:00,Southern Methodist,USA,Southern Methodist/USA,77.0,205.0,5.0,Guard-Forward,Active,Y,1610612750.0,shake_milton,2018.0,2023.0,Y,Y,Y,2018,N,2,2,2,No
136,Shane Larkin,PG,21.5,DAL,62.0,1177.0,9.600000000000001,0.475,0.273,0.1815,2.15,8.35,5.2,19.9,2.6500000000000004,0.30000000000000004,18.0,15.5,0.2,0.6,0.7999999999999999,0.017499999999999998,-3.4,0.1,-3.3,-0.30000000000000004,2014,203499.0,Shane,Larkin,Shane Larkin,"Larkin, Shane",S. Larkin,shane-larkin,1992-10-02T00:00:00,Miami,USA,Miami/USA,71.0,175.0,4.0,Guard,Inactive,N,1610612751.0,shane_larkin,2013.0,2017.0,Y,Y,Y,2013,N,3,3,4,Yes
137,Spencer Dinwiddie,PG,21.5,DET,23.0,307.0,9.55,0.4085,0.28500000000000003,0.406,1.75,10.100000000000001,5.75,27.9,1.6,0.5,12.25,20.9,-0.15,0.25,0.1,0.0185,-3.8,-0.19999999999999998,-4.0,-0.1,2015,203915.0,Spencer,Dinwiddie,Spencer Dinwiddie,"Dinwiddie, Spencer",S. Dinwiddie,spencer-dinwiddie,1993-04-06T00:00:00,Colorado,USA,Colorado/USA,77.0,215.0,9.0,Guard,Active,Y,1610612751.0,spencer_dinwiddie,2014.0,2023.0,Y,Y,Y,2014,N,3,3,3,No
